-1 1:8.105 2:-3.500 3:4.769 4:4.541 5:-9.829 6:5.252 7:3.838 8:-3.408 9:-4.824
1 1:-6.273 2:-2.097 3:9.404 4:1.143 5:3.487 6:-5.206 7:0.061 8:5.024 9:-6.687
1 1:1.624 2:-1.173 3:4.260 4:-3.607 5:-6.632 6:4.431 7:-8.355 8:7.206 9:-8.977
1 1:-10.000 2:7.758 3:-2.670 4:-8.880 5:-1.099 6:-9.183 7:-4.086 8:8.962 9:5.841
-1 1:8.464 2:1.762 3:2.729 4:2.724 5:8.155 6:6.096 7:-2.844 8:9.800 9:3.302
1 1:-0.135 2:6.193 3:7.705 4:7.195 5:7.313 6:-3.395 7:8.012 8:-6.773 9:-4.433
1 1:0.934 2:-8.379 3:-2.083 4:-6.337 5:4.346 6:-3.928 7:9.759 8:-8.499 9:-4.128
1 1:8.923 2:-0.018 3:-6.837 4:6.628 5:-2.823 6:-9.524 7:-6.767 8:-4.811 9:-6.296
-1 1:-9.028 2:7.010 3:-9.063 4:-1.111 5:-9.328 6:5.282 7:4.960 8:-9.569 9:6.784
1 1:-9.706 2:1.392 3:6.562 4:-6.543 5:-1.980 6:-6.261 7:-6.067 8:1.254 9:-1.071
1 1:-6.891 2:-4.157 3:1.057 4:-5.954 5:4.732 6:1.729 7:9.328 8:-0.308 9:2.160
-1 1:-0.845 2:-5.858 3:-0.486 4:-4.282 5:-2.401 6:7.534 7:-0.543 8:1.531 9:-1.212
1 1:-9.596 2:-3.929 3:9.556 4:1.461 5:0.117 6:4.288 7:-6.810 8:-0.555 9:-6.020
1 1:9.124 2:7.287 3:-7.506 4:-1.363 5:-6.995 6:0.093 7:-3.828 8:2.462 9:-8.376
-1 1:7.514 2:7.608 3:-0.175 4:7.071 5:-0.931 6:9.942 7:1.359 8:2.259 9:-0.613
-1 1:-1.805 2:-2.265 3:-9.636 4:0.689 5:6.373 6:-6.631 7:-9.218 8:-7.456 9:5.831
-1 1:-3.048 2:8.819 3:-8.509 4:6.777 5:5.889 6:0.560 7:6.719 8:-2.752 9:-7.181
-1 1:-5.873 2:-9.376 3:-3.226 4:-5.509 5:1.313 6:-6.853 7:-2.140 8:2.095 9:-4.309
-1 1:4.250 2:-5.350 3:-6.683 4:5.741 5:-8.574 6:9.207 7:-3.699 8:8.145 9:-3.545
1 1:8.587 2:-0.571 3:-7.906 4:-4.638 5:3.920 6:3.407 7:-1.491 8:-8.220 9:-4.498
1 1:-8.107 2:0.089 3:-7.650 4:-4.790 5:-4.171 6:-6.223 7:-5.583 8:2.130 9:-8.078
-1 1:-8.616 2:9.386 3:-9.095 4:-6.522 5:-5.252 6:4.825 7:6.886 8:3.256 9:6.605
1 1:-10.000 2:-3.258 3:-1.998 4:-7.559 5:1.952 6:3.832 7:-3.782 8:6.369 9:-4.038
1 1:-4.212 2:-1.462 3:-2.603 4:-3.308 5:2.016 6:2.144 7:-8.483 8:-1.099 9:-4.600
-1 1:8.112 2:3.770 3:-5.551 4:-3.885 5:6.211 6:6.401 7:9.946 8:-7.571 9:2.770
1 1:-8.868 2:0.669 3:5.703 4:-1.472 5:7.361 6:-2.282 7:-9.328 8:8.879 9:6.620
1 1:6.635 2:5.312 3:5.358 4:-8.916 5:-8.574 6:1.569 7:7.485 8:-8.628 9:3.998
-1 1:7.432 2:-8.466 3:-9.884 4:3.135 5:0.062 6:7.477 7:-9.147 8:0.734 9:6.355
1 1:-3.031 2:2.371 3:-4.132 4:-7.674 5:3.454 6:-2.706 7:3.895 8:0.939 9:-1.334
1 1:-10.000 2:-1.108 3:7.883 4:-7.978 5:-7.973 6:-2.055 7:9.498 8:-7.120 9:8.679
-1 1:10.000 2:2.703 3:-6.408 4:-4.365 5:5.029 6:7.046 7:2.929 8:-1.076 9:-2.015
-1 1:3.891 2:1.182 3:-0.468 4:1.774 5:3.203 6:1.559 7:9.719 8:2.702 9:4.439
1 1:-4.895 2:7.533 3:3.229 4:-1.304 5:-6.832 6:-1.742 7:-4.258 8:6.097 9:7.182
-1 1:-6.454 2:-0.875 3:4.457 4:3.077 5:-9.100 6:-2.340 7:-5.364 8:-9.381 9:-10.000
1 1:4.393 2:8.004 3:-5.783 4:-2.378 5:-3.299 6:-2.615 7:5.880 8:2.443 9:-6.518
1 1:0.337 2:2.622 3:-4.467 4:-5.206 5:-4.301 6:-3.567 7:2.454 8:0.335 9:-2.949
1 1:-1.583 2:7.670 3:6.972 4:2.634 5:-4.708 6:-6.327 7:-9.980 8:-8.828 9:6.116
1 1:-8.917 2:1.634 3:-6.017 4:-3.384 5:6.428 6:-0.318 7:3.049 8:-1.118 9:-10.000
-1 1:-4.864 2:1.848 3:0.375 4:-7.892 5:-5.517 6:5.667 7:-4.218 8:-5.498 9:6.839
-1 1:5.545 2:3.762 3:-5.996 4:9.528 5:-9.622 6:-9.568 7:-0.789 8:3.427 9:-0.686
-1 1:1.361 2:-5.169 3:-3.709 4:-8.264 5:-3.060 6:0.774 7:7.403 8:2.721 9:5.276
1 1:7.686 2:4.347 3:-0.279 4:-8.310 5:3.875 6:0.099 7:-7.878 8:-6.914 9:-6.474
1 1:6.890 2:-7.670 3:-8.421 4:-6.819 5:-5.934 6:-1.481 7:3.954 8:-8.532 9:-8.760
1 1:-1.530 2:8.711 3:-0.993 4:8.191 5:-9.599 6:-7.117 7:-1.710 8:-7.477 9:-4.031
-1 1:-4.384 2:3.295 3:1.583 4:-2.805 5:6.476 6:5.649 7:5.713 8:0.430 9:7.117
1 1:-2.528 2:-9.359 3:2.564 4:6.479 5:8.832 6:2.966 7:9.362 8:-2.878 9:5.489
1 1:2.867 2:3.421 3:9.149 4:-5.550 5:-9.384 6:5.625 7:-9.901 8:6.329 9:-3.945
-1 1:-6.103 2:3.564 3:8.529 4:6.461 5:0.044 6:7.361 7:-0.573 8:-0.595 9:-5.517
-1 1:-10.000 2:1.217 3:-5.353 4:9.365 5:5.667 6:-4.737 7:4.989 8:5.765 9:-8.408
1 1:-5.352 2:-3.079 3:4.530 4:-6.823 5:-6.618 6:-5.426 7:-9.462 8:2.809 9:3.979
1 1:9.667 2:2.303 3:8.283 4:-5.686 5:1.668 6:3.949 7:-0.423 8:-3.343 9:-0.286
1 1:-2.993 2:9.110 3:2.642 4:-8.462 5:-7.713 6:6.024 7:-3.888 8:-7.175 9:-1.167
1 1:5.873 2:5.954 3:0.947 4:4.155 5:-9.732 6:-7.385 7:-1.896 8:-0.155 9:-0.728
-1 1:-3.765 2:4.062 3:0.545 4:8.877 5:5.600 6:2.833 7:4.901 8:-8.289 9:5.658
-1 1:-1.065 2:-3.518 3:5.746 4:9.882 5:-9.363 6:6.014 7:-7.503 8:-1.259 9:-4.141
1 1:-9.823 2:3.309 3:-2.012 4:0.723 5:2.186 6:-6.412 7:-6.445 8:-2.913 9:-4.701
-1 1:-7.490 2:0.047 3:-5.807 4:8.256 5:-0.070 6:-5.170 7:4.271 8:2.427 9:3.572
1 1:-9.071 2:3.115 3:-9.485 4:-1.083 5:-6.162 6:2.701 7:2.505 8:-2.607 9:9.788
1 1:-7.382 2:1.835 3:-8.231 4:-3.189 5:0.091 6:1.698 7:1.642 8:-5.638 9:-5.875
-1 1:2.551 2:2.422 3:4.373 4:3.066 5:-8.661 6:8.210 7:-4.233 8:3.844 9:-4.397
1 1:-2.114 2:9.172 3:3.369 4:-0.345 5:-4.017 6:-6.540 7:-8.647 8:7.625 9:-2.178
-1 1:5.056 2:-9.265 3:6.228 4:-0.571 5:3.801 6:7.567 7:-2.361 8:9.569 9:1.411
1 1:-3.013 2:-0.825 3:8.785 4:-9.643 5:8.830 6:-5.231 7:-6.183 8:-9.817 9:-7.606
1 1:-2.241 2:4.515 3:4.151 4:-6.012 5:-6.056 6:-2.047 7:-8.445 8:1.584 9:-2.479
-1 1:5.637 2:7.266 3:-6.890 4:4.422 5:7.623 6:-8.061 7:9.191 8:-8.560 9:-7.878
-1 1:-9.766 2:-5.208 3:-8.244 4:4.386 5:-1.221 6:-4.299 7:-7.662 8:0.334 9:7.284
-1 1:6.440 2:4.960 3:-0.344 4:9.550 5:-0.618 6:-2.722 7:-8.511 8:-1.426 9:-1.281
1 1:8.634 2:7.211 3:-6.378 4:-9.609 5:1.597 6:2.401 7:-3.909 8:3.935 9:-7.265
-1 1:7.875 2:-7.259 3:-9.684 4:-2.469 5:-7.710 6:-0.301 7:4.809 8:-6.221 9:8.272
1 1:-5.843 2:7.417 3:-7.380 4:-2.221 5:7.808 6:4.217 7:-9.820 8:-6.101 9:-1.848
-1 1:4.305 2:0.635 3:-9.011 4:4.622 5:8.166 6:-6.721 7:-5.679 8:2.975 9:-2.941
-1 1:6.433 2:-4.014 3:0.649 4:9.053 5:3.765 6:-1.543 7:3.269 8:3.946 9:2.356
-1 1:1.617 2:-9.885 3:-6.974 4:2.606 5:4.737 6:-8.808 7:5.885 8:9.057 9:4.168
1 1:0.624 2:-0.892 3:8.487 4:-8.727 5:-1.840 6:2.252 7:-0.271 8:-8.570 9:-3.802
1 1:4.106 2:-2.164 3:-1.017 4:7.132 5:-9.558 6:-6.280 7:8.325 8:6.327 9:-7.223
-1 1:5.663 2:-2.714 3:-3.790 4:4.150 5:-1.441 6:4.370 7:-3.598 8:8.288 9:5.800
-1 1:-5.474 2:6.195 3:-7.293 4:3.509 5:3.328 6:-6.851 7:7.229 8:1.652 9:9.476
1 1:-8.465 2:-7.029 3:-7.304 4:-2.255 5:7.120 6:1.255 7:-7.885 8:-6.478 9:-0.456
1 1:1.437 2:6.306 3:-1.798 4:4.145 5:-0.185 6:-8.470 7:7.294 8:-2.956 9:3.182
1 1:0.927 2:3.018 3:-2.395 4:3.623 5:-9.236 6:-5.275 7:-5.121 8:-7.121 9:-1.753
